ts_event,best_OFI,multi_level_OFI,integrated_OFI,cross_asset_OFI
2024-10-21 11:54:29.221064336+00:00,0.0,0.0,14.24195490244954,-22.307843739734366
2024-10-21 11:54:29.223769812+00:00,2.0,2.0,14.073020227073469,116.45763275877107
2024-10-21 11:54:29.225030400+00:00,3.0,3.0,13.988552889370343,92.00956325757146
2024-10-21 11:54:29.712434212+00:00,0.0,66.66666666666667,-89.030879249306,-28.401451653162045
2024-10-21 11:54:29.764673165+00:00,0.0,-66.66666666666667,117.51478905428252,122.40035283992695
2024-10-21 11:54:29.764685027+00:00,0.0,205.0,-85.40235799238788,53.18813035321955
2024-10-21 11:54:36.289427977+00:00,0.0,85.57142857142857,19.99845847322624,-67.49008377672435
2024-10-21 11:54:37.990793976+00:00,-200.0,200.0,15.043735309988147,-10.777814707634386
2024-10-21 11:54:39.124291588+00:00,1.0,-1212.0,3.923156823387409,95.95453468909975
2024-10-21 11:54:39.134140341+00:00,-200.0,1012.0,22.197447614556605,80.46390426557903
2024-10-21 11:54:41.233181043+00:00,-3.0,-3.0,14.495356915606184,34.162551491202954
2024-10-21 11:54:41.234620509+00:00,1.0,1.0,14.157487564782274,59.88323919887352
2024-10-21 11:54:41.235907431+00:00,-1.0,-1.0,14.326422240194224,109.8973038512384
2024-10-21 11:54:41.235977207+00:00,-2.0,-2.0,14.410889577900205,58.20983241550406
2024-10-21 11:54:41.238618235+00:00,2.0,924.0,-290.66677257463374,-123.56232131127338
2024-10-21 11:54:41.239827037+00:00,3.0,3.0,13.988552889370325,107.6564180687585
2024-10-21 11:54:50.970297264+00:00,0.0,-204.8,4.970948646697019,21.370529371094392
2024-10-21 11:54:50.970336474+00:00,0.0,7.25,14.422412527405138,-114.14116472296789
2024-10-21 11:54:53.247532557+00:00,-3.0,-3.0,14.495356915606184,54.199805649631685
2024-10-21 11:54:53.248893986+00:00,-139.0,-977.0,216.9791717407592,191.08554137390357
2024-10-21 11:54:53.251320969+00:00,3.0,3.0,13.988552889370325,166.7151431449444
2024-10-21 11:54:53.252546517+00:00,2.0,2.0,14.0730202270763,-66.57883119965012
2024-10-21 11:54:55.503497741+00:00,0.0,-100.25,111.71613568437235,151.56572839668527
2024-10-21 11:54:55.503541005+00:00,0.0,106.75,-76.56450037183298,-77.14491421890361
2024-10-21 11:54:55.551806996+00:00,0.0,200.0,-80.23871628479812,-35.323984321539086
2024-10-21 11:54:58.132928650+00:00,0.0,-133.33333333333334,5.309007188069963,-2.5735294146687115
2024-10-21 11:54:58.133944065+00:00,0.0,100.0,15.406276888974592,-47.391875413761504
2024-10-21 11:55:09.125042325+00:00,0.0,-219.0,128.01998507454675,0.2541465571097383
2024-10-21 11:55:09.125055670+00:00,0.0,418.5,-176.2088132667091,-159.6696554926964
2024-10-21 11:55:09.160009889+00:00,0.0,-7.25,14.061497277571368,72.1879616108304
2024-10-21 11:55:09.160051447+00:00,0.0,9.0,14.388970337529488,6.731576576656986
2024-10-21 11:55:13.899151539+00:00,0.0,200.0,-80.23871628479812,-80.20814766588455
2024-10-21 11:55:22.016715475+00:00,0.0,-100.25,111.71613568437235,49.98618822742736
2024-10-21 11:55:22.060173668+00:00,0.0,106.75,-76.56450037183298,-4.729702382468989
2024-10-21 11:55:22.132778490+00:00,0.0,200.0,-80.23871628479812,-144.75130203914483
2024-10-21 11:55:26.447978801+00:00,-200.0,200.0,15.043735309988147,-50.24168373867728
2024-10-21 11:55:30.365285173+00:00,0.0,-219.0,128.01998507454675,87.39801267205183
2024-10-21 11:55:30.365297270+00:00,0.0,418.5,-176.2088132667091,-165.93898925640184
2024-10-21 11:55:30.377046532+00:00,0.0,-100.25,111.71613568437235,68.36128970270055
2024-10-21 11:55:30.377110788+00:00,0.0,10.0,-1.2489702202808788,-54.82326609888612
2024-10-21 11:55:30.509413271+00:00,0.0,-9.0,14.094939467447013,-65.58975217954796
2024-10-21 11:55:30.509458075+00:00,0.0,170.2,22.392107663293604,23.73803742269469
2024-10-21 11:55:30.559949308+00:00,0.0,200.0,-80.23871628479812,-79.06847454580507
2024-10-21 11:55:31.194923125+00:00,0.0,155.66666666666666,-97.59768644558028,56.26876178043962
2024-10-21 11:55:31.195023714+00:00,0.0,-7.5,30.606616740769127,21.904741771745833
2024-10-21 11:55:34.079261198+00:00,-139.0,-139.0,25.982914843619092,-16.01650849697021
2024-10-21 11:55:35.302921978+00:00,-2.0,-2.0,14.410889577900205,50.76933805329858
2024-10-21 11:55:35.303067914+00:00,-400.0,-838.0,157.0441577794948,106.37510031629165
2024-10-21 11:55:35.304531207+00:00,2.0,839.0,-175.88263046999776,-173.7239347489035
2024-10-21 11:55:35.305736838+00:00,-400.0,-838.0,157.0441577794948,176.5101083575985
2024-10-21 11:55:35.374212373+00:00,-27.0,-488.0,160.8545235781619,166.81883671137456
2024-10-21 11:55:35.374226300+00:00,0.0,200.33333333333334,-186.50506003119003,-69.99441030977152
2024-10-21 11:55:38.243671650+00:00,201.0,-1211.0,3.254791906720427,-86.03236830424717
2024-10-21 11:55:38.243683612+00:00,-200.0,200.0,15.043735309988147,157.14398559073976
2024-10-21 11:55:38.298336797+00:00,0.0,66.66666666666667,-89.030879249306,-121.35308278081709
2024-10-21 11:55:38.572413983+00:00,-200.0,1410.0,25.34099330430416,44.79517279379974
2024-10-21 11:55:44.733510979+00:00,29.0,666.0,-184.92469011212424,-122.41487319116288
2024-10-21 11:55:44.791957886+00:00,0.0,-305.5,217.3509866158488,137.2432824629816
2024-10-21 11:55:51.293948230+00:00,-100.0,1110.0,23.220993888594982,44.167063296963306
2024-10-21 11:55:51.294217665+00:00,200.0,-1410.0,3.142916500672343,-15.269929125432128
2024-10-21 11:55:51.365188500+00:00,0.0,-150.33333333333334,156.2118886804184,49.28250546303493
2024-10-21 11:55:51.401597368+00:00,0.0,200.33333333333334,-186.50506003119003,-98.43369841013646
2024-10-21 11:55:53.213328704+00:00,0.0,60.714285714285715,19.038925008950912,-55.063682953456535
2024-10-21 11:55:53.213365167+00:00,0.0,-170.0,6.10266509647408,-86.3655547442882
2024-10-21 11:55:54.691386316+00:00,0.0,66.66666666666667,-89.030879249306,-8.206889280845548
2024-10-21 11:55:54.691398035+00:00,201.0,-1210.0,3.2585537240036757,-42.59947566624704
2024-10-21 11:55:54.691407713+00:00,0.0,604.0,24.522528332080675,160.04042451676233
2024-10-21 11:55:54.745856609+00:00,0.0,-66.66666666666667,117.51478905428252,103.80181761550931
2024-10-21 11:55:54.745868744+00:00,0.0,66.66666666666667,-89.030879249306,-193.84163860917928
2024-10-21 11:55:54.762492206+00:00,-10.0,-661.0,204.2968976511214,60.65911425474597
2024-10-21 11:55:54.762530320+00:00,28.0,639.0,-191.23216226663956,-236.82055083625224
2024-10-21 11:55:55.306692496+00:00,0.0,-150.33333333333334,156.2118886804184,11.341813596093047
2024-10-21 11:55:55.306705027+00:00,0.0,267.0,-289.7778941829841,-230.9548121589393
2024-10-21 11:55:55.361082355+00:00,-200.0,-809.0,4.866123441040958,264.6413620951802
2024-10-21 11:55:55.706105479+00:00,0.0,66.66666666666667,-89.030879249306,-128.90855837973382
2024-10-21 11:55:58.151580102+00:00,0.0,66.66666666666667,-89.030879249306,-145.68446172936763
2024-10-21 11:56:07.493655598+00:00,0.0,-0.25,14.216867138532466,-90.63321101802849
2024-10-21 11:56:10.953492365+00:00,200.0,-200.0,13.440174494988359,17.80080870453003
2024-10-21 11:56:10.953504236+00:00,0.0,100.0,15.406276888974592,-38.09542455971673
2024-10-21 11:56:11.008155483+00:00,0.0,-66.66666666666667,117.51478905428252,9.596712624357526
2024-10-21 11:56:11.008167451+00:00,0.0,133.33333333333334,-192.3037134011001,-118.90816282097639
2024-10-21 11:56:11.038752302+00:00,-10.0,-861.0,251.53723324476456,166.72199407180688
2024-10-21 11:56:11.038803026+00:00,26.0,837.0,-294.3360617430218,-168.34622691659231
2024-10-21 11:56:14.982879375+00:00,0.0,-100.0,13.077632916001908,25.865580191362387
2024-10-21 11:56:14.982891924+00:00,0.0,66.66666666666667,15.330958125015929,80.20714210683457
2024-10-21 11:56:15.036962807+00:00,0.0,0.0,14.317273666446917,59.803817617662176
2024-10-21 11:56:15.039085832+00:00,0.0,-279.6,0.3560316536635117,75.84852223421525
2024-10-21 11:56:15.039203352+00:00,0.0,165.2,23.392953865411258,-5.8387555780748
2024-10-21 11:56:17.922879284+00:00,0.0,-279.6,0.3560316536635117,53.63682422316068
2024-10-21 11:56:17.922956219+00:00,0.0,165.6,23.410320937729878,47.61198935926694
2024-10-21 11:56:23.203362495+00:00,0.0,-100.0,13.077632916001908,-165.56366517280193
2024-10-21 11:56:23.203374367+00:00,0.0,66.66666666666667,15.330958125015929,81.46727297282712
2024-10-21 11:56:23.230980890+00:00,0.0,133.33333333333334,-192.3037134011001,2.819868545106033
2024-10-21 11:56:23.259005865+00:00,0.0,66.66666666666667,-89.030879249306,-24.47184060521205
2024-10-21 11:56:23.260424017+00:00,-10.0,-661.0,204.2968976511214,57.15604013708959
2024-10-21 11:56:23.260520532+00:00,27.0,638.0,-191.14769492893362,-159.08371976628018
2024-10-21 11:56:24.985297090+00:00,0.0,-150.33333333333334,156.2118886804184,139.79802727337534
2024-10-21 11:56:24.985309618+00:00,0.0,267.0,-289.7778941829841,-162.00940745430717
2024-10-21 11:56:25.053201827+00:00,0.0,0.0,14.317273666446917,-44.773635087383525
2024-10-21 11:56:29.970611371+00:00,0.0,0.125,14.25449878446614,44.28165694931387
2024-10-21 11:56:34.567796323+00:00,0.0,-100.0,13.077632916001908,33.39729626807043
2024-10-21 11:56:34.567809267+00:00,0.0,66.66666666666667,15.330958125015929,-1.065975843626802
2024-10-21 11:56:34.623413180+00:00,0.0,0.0,14.317273666446917,-1.9895885408835525
2024-10-21 11:56:42.272625996+00:00,0.0,66.66666666666667,-89.030879249306,-31.592644524128545
2024-10-21 11:56:43.878708550+00:00,-100.0,1512.0,26.030671834453155,10.605612150902495
2024-10-21 11:56:43.878991240+00:00,201.0,-1413.0,2.072041474858011,18.828588229462248
2024-10-21 11:56:47.448697059+00:00,0.0,-100.0,13.077632916001908,120.96866778026005
2024-10-21 11:56:47.557683879+00:00,0.0,100.0,15.406276888974592,-67.36425107203647
2024-10-21 11:56:51.014654312+00:00,0.0,66.66666666666667,-89.030879249306,-17.550120357992473
2024-10-21 11:56:51.014666179+00:00,0.0,-100.0,13.077632916001908,-5.629655191310551
2024-10-21 11:56:51.014676787+00:00,0.0,263.25,23.63820851891924,-87.06076963247351
2024-10-21 11:56:55.866035650+00:00,0.0,-218.0,5.994481289764588,47.158633243554384
2024-10-21 11:57:04.890399029+00:00,-100.0,1512.0,26.186203956179845,130.53010070900075
2024-10-21 11:57:04.890725062+00:00,201.0,-1413.0,2.1473602388166473,-74.40186392515136
2024-10-21 11:57:06.458943234+00:00,1.0,838.0,-291.657350244896,-234.27963322647247
2024-10-21 11:57:06.459285665+00:00,0.0,0.0,14.24195490248825,-58.17174723409032
2024-10-21 11:57:07.554141976+00:00,0.0,0.0,14.24195490248825,138.14107493473037
2024-10-21 11:57:08.621131954+00:00,0.0,0.0,14.24195490248825,116.1585225096345
2024-10-21 11:57:10.160087903+00:00,0.0,0.0,14.24195490248825,-80.90717728667047
2024-10-21 11:57:14.110885099+00:00,0.0,0.0,14.24195490248825,-9.236878803500348
2024-10-21 11:57:14.837669309+00:00,0.0,-405.5,320.623820767643,191.33793394595182
2024-10-21 11:57:14.894521785+00:00,0.0,419.5,-292.0452862631265,-206.23396960460082
2024-10-21 11:57:15.098765695+00:00,0.0,-66.66666666666667,13.152951679960573,-9.102674131071616
2024-10-21 11:57:15.098777532+00:00,0.0,50.0,15.48649024674262,9.545307621207385
2024-10-21 11:57:15.158138746+00:00,0.0,-50.0,123.3397004910274,75.50584369998207
2024-10-21 11:57:15.158151037+00:00,0.0,100.0,-203.95353627459002,-233.84586574687526
2024-10-21 11:57:15.238560230+00:00,0.0,263.25,23.63820851891924,-60.50705186243242
2024-10-21 11:57:15.426680348+00:00,0.0,-218.0,5.994481289764588,172.95980368639235
2024-10-21 11:57:15.993250474+00:00,0.0,0.0,14.24195490248825,151.7933265869444
2024-10-21 11:57:17.249143876+00:00,0.0,-66.66666666666667,13.152951679960573,-23.81038086848281
2024-10-21 11:57:17.249155657+00:00,0.0,50.0,15.48649024674262,55.486246421730655
2024-10-21 11:57:17.304858834+00:00,0.0,0.0,14.086422780761561,-43.0451094089445
2024-10-21 11:57:17.495155713+00:00,0.0,0.0,14.24195490248825,106.88980041715115
2024-10-21 11:57:20.112111433+00:00,-20.0,1432.0,25.865491793179856,76.60199015697418
2024-10-21 11:57:22.737207625+00:00,0.0,0.0,14.24195490248825,-91.48204789781731
2024-10-21 11:57:23.434433631+00:00,0.0,0.0,14.24195490248825,-43.15758492824665
2024-10-21 11:57:23.522180556+00:00,0.0,-405.5,320.623820767643,234.28675013308685
2024-10-21 11:57:23.522320812+00:00,0.0,106.75,-76.56450037183298,-54.75294747351982
2024-10-21 11:57:23.575986228+00:00,0.0,0.0,14.086422780761561,7.450715368015199
2024-10-21 11:57:23.893151634+00:00,0.0,0.0,14.24195490248825,-97.45294503703103
2024-10-21 11:57:23.893151634+00:00,-10.0,-838.0,220.98331285921077,96.37688843608231
2024-10-21 11:57:23.893200066+00:00,-23.0,1055.0,23.11353827651802,-16.235194352715222
2024-10-21 11:57:23.964289822+00:00,0.0,-239.0,162.58933398556022,7.3801425575819195
2024-10-21 11:57:23.964302478+00:00,0.0,314.0,-144.41439408353133,-179.94577096405888
2024-10-21 11:57:23.993763323+00:00,20.0,-1432.0,2.773950133523337,1.1618408179181419
2024-10-21 11:57:25.745564633+00:00,0.0,-239.0,162.58933398556022,70.89665468514394
2024-10-21 11:57:25.813792371+00:00,0.0,-66.66666666666667,13.152951679960573,93.90457333482772
2024-10-21 11:57:25.852973172+00:00,0.0,50.0,15.48649024674262,53.29444496607379
2024-10-21 11:57:25.862973670+00:00,0.0,414.0,-191.65472967717443,-122.36969972286099
2024-10-21 11:57:25.868673528+00:00,200.0,210.0,-5.01352941838936,-59.36498537209158
2024-10-21 11:57:26.000349886+00:00,200.0,200.0,-2.6515126387072026,23.036867811169166
2024-10-21 11:57:28.039292565+00:00,-200.0,-200.0,31.135422443683723,-12.19865052301831
